Date,Open,High,Low,Last,Volume,Open Interest
2020-04-30,,468.0,468.0,468.0,0.0,0.0
2020-04-29,,454.0,454.0,454.0,0.0,0.0
2020-04-28,,459.0,459.0,459.0,0.0,0.0
2020-04-27,,455.0,455.0,455.0,0.0,0.0
2020-04-24,,460.0,460.0,460.0,0.0,0.0
2020-04-23,,471.0,471.0,471.0,0.0,0.0
2020-04-22,,475.0,475.0,475.0,0.0,0.0
2020-04-21,,480.0,480.0,480.0,0.0,0.0
2020-04-20,,479.0,479.0,479.0,0.0,0.0
2020-04-17,,462.0,462.0,462.0,0.0,0.0
2020-04-16,,456.0,456.0,456.0,0.0,0.0
2020-04-15,,465.0,465.0,465.0,0.0,0.0
2020-04-14,,468.0,468.0,468.0,0.0,0.0
2020-04-13,,478.0,478.0,478.0,0.0,0.0
2020-04-10,,477.0,477.0,477.0,0.0,0.0
2020-04-09,,477.0,477.0,477.0,0.0,0.0
2020-04-08,,463.0,463.0,463.0,0.0,0.0
2020-04-07,,460.0,460.0,460.0,0.0,0.0
2020-04-06,,461.0,461.0,461.0,0.0,0.0
2020-04-03,,459.0,459.0,459.0,0.0,0.0
2020-04-02,,454.0,454.0,454.0,0.0,0.0
2020-04-01,,466.0,466.0,466.0,0.0,0.0
2020-03-31,,484.0,484.0,484.0,0.0,0.0
2020-03-30,,474.0,474.0,474.0,0.0,0.0
2020-03-27,,474.0,474.0,474.0,0.0,0.0
2020-03-26,,475.0,475.0,475.0,0.0,0.0
2020-03-25,,485.0,485.0,485.0,0.0,0.0
2020-03-24,,474.0,474.0,474.0,0.0,0.0
2020-03-23,,472.0,472.0,472.0,0.0,0.0
2020-03-20,,451.0,451.0,451.0,0.0,0.0
2020-03-19,,448.0,448.0,448.0,0.0,0.0
2020-03-18,,430.0,430.0,430.0,0.0,0.0
2020-03-17,,415.0,415.0,415.0,0.0,0.0
2020-03-16,,407.0,407.0,407.0,0.0,0.0
2020-03-13,,412.0,412.0,412.0,0.0,0.0
2020-03-12,,413.0,413.0,413.0,0.0,0.0
2020-03-11,,422.0,422.0,422.0,0.0,0.0
2020-03-10,,431.0,431.0,431.0,0.0,0.0
2020-03-09,,424.0,424.0,424.0,0.0,0.0
2020-03-06,,429.0,429.0,429.0,0.0,0.0
2020-03-05,,429.0,429.0,429.0,0.0,0.0
2020-03-04,,438.0,438.0,438.0,0.0,0.0
2020-03-03,,443.0,443.0,443.0,0.0,0.0
2020-03-02,,443.0,443.0,443.0,0.0,0.0
2020-02-28,,438.0,438.0,438.0,0.0,0.0
